Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1900-9002-CPV,1900,9002,,Natural,Climatological,Drought,Drought,,,Cabo Verde,CPV,Western Africa,Africa,Countrywide,,Famine,,,No,No,,,Km2,,,,,1900,,,1900,,,11000,,,,,,,,,,,3.077090909,,,,
1900-9001-IND,1900,9001,,Natural,Climatological,Drought,Drought,,,India,IND,Southern Asia,Asia,Bengal,,,,,No,No,,,Km2,,,,,1900,,,1900,,,1250000,,,,,,,,,,,3.077090909,,,,
1910-9006-BFA,1910,9006,,Natural,Climatological,Drought,Drought,,,Burkina Faso,BFA,Western Africa,Africa,,,,,,,,,,Km2,,,,,1910,,,1914,,,,,,,,,,,,,,3.446341818,,,,
1910-9006-CPV,1910,9006,,Natural,Climatological,Drought,Drought,,,Cabo Verde,CPV,Western Africa,Africa,,,,,,,,,,Km2,,,,,1910,,,1914,,,,,,,,,,,,,,3.446341818,,,,
1910-9006-GMB,1910,9006,,Natural,Climatological,Drought,Drought,,,Gambia (the),GMB,Western Africa,Africa,,,,,,,,,,Km2,,,,,1910,,,1914,,,,,,,,,,,,,,3.446341818,,,,
1910-9006-GNB,1910,9006,,Natural,Climatological,Drought,Drought,,,Guinea-Bissau,GNB,Western Africa,Africa,,,,,,,,,,Km2,,,,,1910,,,1914,,,,,,,,,,,,,,3.446341818,,,,
1911-0018-CAN,1911,18,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,"Cochrane (and Northern Region), Ontario",,,,,,,,1294994,Km2,,,,,1911,7,11,1911,7,11,73,,,200,200,,,,,,,3.446341818,,,,
1919-9006-AIA,1919,9006,,Natural,Climatological,Drought,Drought,,,Anguilla,AIA,Caribbean,Americas,,,,,,,,,,Km2,,,,,1919,,,1923,,,,,,,,,,,,,,6.412657453,,,,
1920-9004-CPV,1920,9004,,Natural,Climatological,Drought,Drought,,,Cabo Verde,CPV,Western Africa,Africa,Countrywide,,Famine,,,,,,,Km2,,,,,1920,,,1920,,,24000,,,,,,,,,,,7.409634908,,,,
1920-9003-CHN,1920,9003,,Natural,Climatological,Drought,Drought,,,China,CHN,Eastern Asia,Asia,North,,,,,,,,,Km2,,,,,1920,,,1920,,,500000,,20000000,,20000000,,,,,,,7.409634908,,,,
1922-0011-CAN,1922,11,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,"Haileybury, Ontario",,,,,,,,5179,Km2,,,,,1922,9,30,1922,9,30,43,,,11000,11000,,,,,8000,129218,6.191106908,,,,
1928-9002-CHN,1928,9002,,Natural,Climatological,Drought,Drought,,,China,CHN,Eastern Asia,Asia,"Shensi, Honan, Kansu",,,,,,,,,Km2,,,,,1928,,,1928,,,3000000,,,,,,,,,,,6.351115635,,,,
1931-9014-CAN,1931,9014,,Natural,Climatological,Drought,Drought,,,Canada,CAN,Northern America,Americas,"Prairie provinces, Western Canada",,Heat wave,,,No,No,,,Km2,,,,,1931,1,,1940,,,,,25000,,25000,,,,,,,5.624922181,,,,
1939-0017-AUS,1939,17,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Australia,AUS,Australia and New Zealand,Oceania,Victoria New South Wales,,,,,,,,5000,Km2,,,,,1939,,,1939,,,71,,,3900,3900,,,,,,,5.144895999,,,,
1940-9002-BFA,1940,9002,,Natural,Climatological,Drought,Drought,,,Burkina Faso,BFA,Western Africa,Africa,,,Famine,,,No,No,,,Km2,,,,,1940,,,1944,,,,,,,,,,,,,,5.18182109,,,,
1940-9002-CPV,1940,9002,,Natural,Climatological,Drought,Drought,,,Cabo Verde,CPV,Western Africa,Africa,"Nicolau, Fogo, Sao Tiago",,Famine,,,,,,,Km2,,,,,1940,,,1944,,,20000,,,,,,,,,,,5.18182109,,,,
1940-9002-GMB,1940,9002,,Natural,Climatological,Drought,Drought,,,Gambia (the),GMB,Western Africa,Africa,,,,,,,,,,Km2,,,,,1940,,,1944,,,,,,,,,,,,,,5.18182109,,,,
1940-9002-GNB,1940,9002,,Natural,Climatological,Drought,Drought,,,Guinea-Bissau,GNB,Western Africa,Africa,,,,,,,,,,Km2,,,,,1940,,,1944,,,,,,,,,,,,,,5.18182109,,,,
1943-9002-BGD,1943,9002,,Natural,Climatological,Drought,Drought,,,Bangladesh,BGD,Southern Asia,Asia,,,Famine,,,No,No,,,Km2,,,,,1943,,,1943,,,1900000,,,,,,,,,,,6.40034909,,,,
1944-0028-AUS,1944,28,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Australia,AUS,Australia and New Zealand,Oceania,Western District Victoria,,,,,,,,5000,Km2,,,,,1944,,,1944,,,49,,,2100,2100,,,,,,,6.511124362,,,,
1946-9004-CPV,1946,9004,,Natural,Climatological,Drought,Drought,,,Cabo Verde,CPV,Western Africa,Africa,Countrywide,,Famine,,,No,No,,,Km2,,,,,1946,,,1946,,,30000,,,,,,,,,,,7.21270109,,,,
1947-9005-BGD,1947,9005,,Natural,Climatological,Drought,Drought,,,Bangladesh,BGD,Southern Asia,Asia,,,,,,No,No,,,Km2,,,,,1947,7,,1947,,,,,,,,,,,,,,8.258911998,,,,
1949-0027-FRA,1949,27,,Natural,Climatological,Wildfire,,,,France,FRA,Western Europe,Europe,Landes,,,,,No,No,,,Km2,,,,,1949,8,,1949,8,,80,,,,,,,,,,,8.800479998,,,,
1960-9039-HKG,1960,9039,,Natural,Climatological,Drought,Drought,,,Hong Kong,HKG,Eastern Asia,Asia,,Late arrival of rain,,,,,,,,Km2,,,,,1960,1,,1960,,,,,,,,,,,,,,10.91450689,,,,
1961-9040-CAN,1961,9040,,Natural,Climatological,Drought,Drought,,,Canada,CAN,Northern America,Americas,Western Canada,,,,,,,,,Km2,,,,,1961,1,,1961,,,,,,,,,,,,,,11.03136672,,,,
1964-9006-ECU,1964,9006,,Natural,Climatological,Drought,Drought,,,Ecuador,ECU,South America,Americas,,,,,Yes,,,,,Km2,,,,,1964,3,,1964,,,,,600000,,600000,,,,,,,11.44654275,,,,
1965-9003-BWA,1965,9003,,Natural,Climatological,Drought,Drought,,,Botswana,BWA,Southern Africa,Africa,Nationwide,,,,Yes,,,,,Km2,,,,,1965,7,,1965,,,,,60000,,60000,,,,,,,11.62799038,,,,
1965-9080-CHN,1965,9080,,Natural,Climatological,Drought,Drought,,,China,CHN,Eastern Asia,Asia,"Central, South-West",,,,,,,,,Km2,,,,,1965,3,,1965,4,,,,,,,,,,,27118,233213,11.62799038,,,,
1965-0022-DOM,1965,22,,Natural,Climatological,Wildfire,Forest fire,,,Dominican Republic (the),DOM,Caribbean,Americas,Pico Duarte,,,,Yes,,,,,Km2,,,,,1965,4,19,1965,4,19,,,,,,,,,,1000,8600,11.62799038,,,,
1965-9038-ETH,1965,9038,,Natural,Climatological,Drought,Drought,,,Ethiopia,ETH,Eastern Africa,Africa,Nationwide,,,,Yes,,,,,Km2,,,,,1965,7,,1965,,,2000,,1500000,,1500000,,,,,,,11.62799038,,,,
1965-9032-HND,1965,9032,,Natural,Climatological,Drought,Drought,,,Honduras,HND,Central America,Americas,"South Valle, Choluteca",,,,Yes,,,,,Km2,,,,,1965,6,,1965,,,,,100000,,100000,,,,,,,11.62799038,,,,
1966-9004-IDN,1966,9004,,Natural,Climatological,Drought,Drought,,,Indonesia,IDN,South-Eastern Asia,Asia,"Lombok, South",,Famine,,Yes,No,No,,,Km2,,,,,1966,1,,1966,,,8000,,204000,,204000,,,,,,,11.97858736,,,,
1966-9005-BFA,1966,9005,,Natural,Climatological,Drought,Drought,,,Burkina Faso,BFA,Western Africa,Africa,Nationwide,,,,Yes,No,No,,,Km2,,,,,1966,7,,1966,,,,,,,,,,,,,,11.97858736,,,,
1966-9107-HKG,1966,9107,,Natural,Climatological,Drought,Drought,,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1966,9,,1966,12,,,,,,,,,,,,,11.97858736,,,,
1967-0018-AUS,1967,18,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Australia,AUS,Australia and New Zealand,Oceania,Hobart (Tasmania),,,,Yes,,,,,Km2,,,,,1967,2,7,1967,2,7,62,100,3000,,3100,,,,,68500,556425,12.31072819,,,,
1967-9012-AUS,1967,9012,,Natural,Climatological,Drought,Drought,,,Australia,AUS,Australia and New Zealand,Oceania,South-East,,,,,No,No,,,Km2,,,,,1967,,,1969,,,600,,,,,,,,,600000,4873798,12.31072819,,,,
1967-0095-HKG,1967,95,,Natural,Climatological,Wildfire,Forest fire,,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1967,,,1967,,,,,,,,,,,,,,12.31072819,,,,
1968-0080-AUS,1968,80,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Australia,AUS,Australia and New Zealand,Oceania,New South Wales,,,,Yes,,,,,Km2,,,,,1968,11,,1968,11,,12,,1000,800,1800,,,,,1000,7790,12.83661491,,,,
1968-9004-BWA,1968,9004,,Natural,Climatological,Drought,Drought,,,Botswana,BWA,Southern Africa,Africa,Countrywide,,,,Yes,No,No,,,Km2,,,,,1968,6,,1968,,,,,60000,,60000,,,,,1000,7790,12.83661491,,,,
1968-9008-CHL,1968,9008,,Natural,Climatological,Drought,Drought,,,Chile,CHL,South America,Americas,"Nationwide, Central Valley, Central Chile",,,,Yes,No,No,,,Km2,,,,,1968,8,,1972,,,,,120000,,120000,,,,,55000,428462,12.83661491,,,,
1968-9009-DOM,1968,9009,,Natural,Climatological,Drought,Drought,,,Dominican Republic (the),DOM,Caribbean,Americas,Nationwide,,,,Yes,No,No,,,Km2,,,,,1968,8,,1968,,,,,240000,,240000,,,,,5000,38951,12.83661491,,,,
1968-9010-GMB,1968,9010,,Natural,Climatological,Drought,Drought,,,Gambia (the),GMB,Western Africa,Africa,Northwestern region,,,,Yes,No,No,,,Km2,,,,,1968,11,,1968,,,,,180000,,180000,,,,,500,3895,12.83661491,,,,
1968-0106-HKG,1968,106,,Natural,Climatological,Wildfire,Forest fire,,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1968,,,1968,,,,,,,,,,,,,,12.83661491,,,,
1968-0108-HKG,1968,108,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1968,10,,1968,10,,,,,,,,,,,,,12.83661491,,,,
1968-9006-HTI,1968,9006,,Natural,Climatological,Drought,Drought,,,Haiti,HTI,Caribbean,Americas,North West Peninsula,,,,Yes,No,No,,,Km2,,,,,1968,1,,1968,,,,,210217,,210217,,,,,1000,7790,12.83661491,,,,
1969-9007-AFG,1969,9007,,Natural,Climatological,Drought,Drought,,,Afghanistan,AFG,Southern Asia,Asia,Paktia province,,Food shortage,,Yes,No,No,,,Km2,,,,,1969,1,,1969,,,,,48000,,48000,,,,,200,1477,13.53780013,,,,
1969-9006-BEN,1969,9006,,Natural,Climatological,Drought,Drought,,,Benin,BEN,Western Africa,Africa,Entire country,,Famine,,Yes,No,No,,,Km2,,,,,1972,1,,1975,,,,,115000,,115000,,,,,,,13.53780013,,,,
1969-9006-BFA,1969,9006,,Natural,Climatological,Drought,Drought,,,Burkina Faso,BFA,Western Africa,Africa,"East, North of Ougadougou. Northern section",,Famine,,Yes,No,No,,,Km2,,,,,1969,4,,1975,,,,,975000,,975000,,,,,,,13.53780013,,,,
1969-9006-CPV,1969,9006,,Natural,Climatological,Drought,Drought,,,Cabo Verde,CPV,Western Africa,Africa,,,Famine,,,No,No,,,Km2,,,,,1972,,,1975,,,,,,,,,,,,,,13.53780013,,,,
1969-9006-GMB,1969,9006,,Natural,Climatological,Drought,Drought,,,Gambia (the),GMB,Western Africa,Africa,Countrywide,,Famine,,Yes,No,No,,,Km2,,,,,1971,1,,1975,,,,,150000,,150000,,,,,200,1477,13.53780013,,,,
1969-9006-GNB,1969,9006,,Natural,Climatological,Drought,Drought,,,Guinea-Bissau,GNB,Western Africa,Africa,,,Famine,,,No,No,,,Km2,,,,,1972,,,1975,,,,,,,,,,,,,,13.53780013,,,,
1969-9009-ETH,1969,9009,,Natural,Climatological,Drought,Drought,,,Ethiopia,ETH,Eastern Africa,Africa,Hamasion division,,,,Yes,No,No,,,Km2,,,,,1969,9,,1969,,,,,1700000,,1700000,,,,,1000,7387,13.53780013,,,,
1969-0129-HKG,1969,129,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1969,7,,1969,7,,,,,,,,,,,,,13.53780013,,,,
1969-0130-HKG,1969,130,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1969,10,,1969,10,,,,,,,,,,,,,13.53780013,,,,
1970-9005-BRA,1970,9005,,Natural,Climatological,Drought,Drought,,,Brazil,BRA,South America,Americas,Northeast,,,,Yes,No,No,,,Km2,,,,,1970,8,,1970,,,,,10000000,,10000000,,,,,100,698,14.32816969,,,,
1970-9073-BWA,1970,9073,,Natural,Climatological,Drought,Drought,,,Botswana,BWA,Southern Africa,Africa,Countrywide,,,,Yes,No,No,,,Km2,,,,,1970,1,,1970,,,,,87600,,87600,,,,,2000,13959,14.32816969,,,,
1970-0093-HKG,1970,93,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1970,1,,1970,1,,,,,,,,,,,,,14.32816969,,,,
1970-0094-HKG,1970,94,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1970,4,,1970,4,,,,,,,,,,,,,14.32816969,,,,
1971-9085-AFG,1971,9085,,Natural,Climatological,Drought,Drought,,,Afghanistan,AFG,Southern Asia,Asia,"Central, North-West, North-East, West regions",,,,Yes,No,No,,,Km2,,,,,1971,8,,1973,,,,,,,,,,,,,,14.94324951,,,,
1971-9001-CMR,1971,9001,,Natural,Climatological,Drought,Drought,,,Cameroon,CMR,Middle Africa,Africa,,,,,Yes,No,No,,,Km2,,,,,1971,1,,1971,,,,,400000,,400000,,,,,1500,10038,14.94324951,,,,
1971-9003-GHA,1971,9003,,Natural,Climatological,Drought,Drought,,,Ghana,GHA,Western Africa,Africa,Countrywide,,,,Yes,No,No,,,Km2,,,,,1971,1,,1971,,,,,12000,,12000,,,,,100,669,14.94324951,,,,
1971-0100-HKG,1971,100,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1971,4,,1971,4,,,,,,,,,,,,,14.94324951,,,,
1971-0102-HKG,1971,102,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1971,10,,1971,10,,,,,,,,,,,,,14.94324951,,,,
1972-0097-HKG,1972,97,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1972,1,,1972,1,,,,,,,,,,,,,15.43223267,,,,
1972-0098-HKG,1972,98,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1972,4,,1972,4,,,,,,,,,,,,,15.43223267,,,,
1972-0099-HKG,1972,99,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1972,10,,1972,10,,,,,,,,,,,,,15.43223267,,,,
1972-9077-HND,1972,9077,,Natural,Climatological,Drought,Drought,,,Honduras,HND,Central America,Americas,,,,,Yes,No,No,,,Km2,,,,,1972,,,1973,,,,,300000,,300000,,,,,7000,45360,15.43223267,,,,
1972-9131-IDN,1972,9131,,Natural,Climatological,Drought,Drought,,,Indonesia,IDN,South-Eastern Asia,Asia,"Central Java, Southern Isles",,,,Yes,No,No,,,Km2,,,,,1972,,,1973,,,,,3500000,,3500000,,,,,70000,453596,15.43223267,,,,
1973-9005-ETH,1973,9005,,Natural,Climatological,Drought,Drought,,,Ethiopia,ETH,Eastern Africa,Africa,"Tigre, Wollo, North Shoa, Tigray, Kangra provinces",,Famine,,,No,No,,,Km2,,,,,1973,12,,1978,,,100000,,3000000,,3000000,,,,,76000,463822,16.3855937,,,,
1973-9004-CRI,1973,9004,,Natural,Climatological,Drought,Drought,,,Costa Rica,CRI,Central America,Americas,Laguna Arenal,,,,,,,,,Km2,,,,,1973,,,1973,,,,,,,,,,,,,,16.3855937,,,,
1973-0059-GMB,1973,59,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Gambia (the),GMB,Western Africa,Africa,,,,,,,,,,Km2,,,,,1973,3,,1973,3,,,,,5000,5000,,,,,,,16.3855937,,,,
1973-0095-HKG,1973,95,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1973,1,,1973,1,,,,,,,,,,,,,16.3855937,,,,
1973-0096-HKG,1973,96,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1973,4,,1973,4,,,,,,,,,,,,,16.3855937,,,,
1974-9100-AUS,1974,9100,,Natural,Climatological,Drought,Drought,,,Australia,AUS,Australia and New Zealand,Oceania,Central New South Wales,,,,,,,,45000,Km2,,,,,1974,12,,1975,1,,,,,,,,,,,,,18.19699103,,,,
1974-9049-BGD,1974,9049,,Natural,Climatological,Drought,Drought,,,Bangladesh,BGD,Southern Asia,Asia,Northwest,,,,,,,,,Km2,,,,,1974,10,,1974,,,,,,,,,,,,,,18.19699103,,,,
1974-0114-HKG,1974,114,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1974,1,,1974,1,,,,,,,,,,,,,18.19699103,,,,
1974-0115-HKG,1974,115,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1974,4,,1974,4,,,,,,,,,,,,,18.19699103,,,,
1974-0117-HKG,1974,117,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1974,10,,1974,10,,,,,,,,,,,,,18.19699103,,,,
1974-9055-HTI,1974,9055,,Natural,Climatological,Drought,Drought,,,Haiti,HTI,Caribbean,Americas,Northwest Peninsula,,,,Yes,,,,,Km2,,,,,1974,11,,1974,,,,,507000,,507000,,,,,,,18.19699103,,,,
1975-0102-AUS,1975,102,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Australia,AUS,Australia and New Zealand,Oceania,Kangaroo Isl.,,,,,,,,,Km2,,,,,1975,1,,1975,1,,,,,,,,,,,,,19.86077411,,,,
1975-0103-AUS,1975,103,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Australia,AUS,Australia and New Zealand,Oceania,Mildura region,,,,,,,,,Km2,,,,,1975,1,,1975,1,,,,,,,,,,,,,19.86077411,,,,
1976-9126-AUS,1976,9126,,Natural,Climatological,Drought,Drought,,,Australia,AUS,Australia and New Zealand,Oceania,"Victoria, South Australia, Southern Inland New South Wales",,,,,,,,,Km2,,,,,1976,,,1976,,,,,,,,,,,,,,21.0017319,,,,
1976-9127-AUS,1976,9127,,Natural,Climatological,Drought,Drought,,,Australia,AUS,Australia and New Zealand,Oceania,Southwest of Western Australia,,,,,,,,,Km2,,,,,1976,5,,1976,8,,,,,,,,,,,,,21.0017319,,,,
1976-9162-BEL,1976,9162,,Natural,Climatological,Drought,Drought,,,Belgium,BEL,Western Europe,Europe,,,,,,,,,,Km2,,,,,1976,7,,1976,,,,,,,,,,,,,,21.0017319,,,,
1976-9152-BFA,1976,9152,,Natural,Climatological,Drought,Drought,,,Burkina Faso,BFA,Western Africa,Africa,Nationwide,,,,Yes,No,No,,,Km2,,,,,1977,,,1978,,,,,442000,,442000,,,,,,,21.0017319,,,,
1976-0030-CRI,1976,30,,Natural,Climatological,Wildfire,Forest fire,,,Costa Rica,CRI,Central America,Americas,Chirripo Mountain,,,,Yes,,,,,Km2,,,,,1976,4,,1976,4,,,,,,,,,,,,,21.0017319,,,,
1976-9152-GMB,1976,9152,,Natural,Climatological,Drought,Drought,,,Gambia (the),GMB,Western Africa,Africa,,,,,,No,No,,,Km2,,,,,1977,,,1978,,,,,,,,,,,,,,21.0017319,,,,
1976-9134-HKG,1976,9134,,Natural,Climatological,Drought,Drought,,,Hong Kong,HKG,Eastern Asia,Asia,Hong Kong,,,,,,,,,Km2,,,,,1976,1,,1976,5,,,,,,,,,,,,,21.0017319,,,,
1977-9062-GHA,1977,9062,,Natural,Climatological,Drought,Drought,,,Ghana,GHA,Western Africa,Africa,"North, Upper regions",,Food shortage,,,No,No,,,Km2,,,,,1977,5,,1977,,,,,,,,,,,,,,22.36719878,,,,
1977-9002-HTI,1977,9002,,Natural,Climatological,Drought,Drought,,,Haiti,HTI,Caribbean,Americas,Countrywide,,Food shortage,,Yes,,,,,Km2,,,,,1977,5,,1977,,,,,450000,,450000,,,,,,,22.36719878,,,,
1977-0225-AUS,1977,225,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Australia,AUS,Australia and New Zealand,Oceania,Western district,,,,,,,,,Km2,,,,,1977,2,,1977,2,,,,,,,,,,,22592,101005,22.36719878,,,,
1977-0227-AUS,1977,227,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Australia,AUS,Australia and New Zealand,Oceania,"Blue Mountains, New South Wales",,,,,,,,,Km2,,,,,1977,12,,1977,12,,3,,,,,,,,,2168,9693,22.36719878,,,,
1977-9005-BOL,1977,9005,,Natural,Climatological,Drought,Drought,,,Bolivia (Plurinational State of),BOL,South America,Americas,Potosi department,,,,,,,,,Km2,,,,,1977,,,1977,,,,,,,,,,,,,,22.36719878,,,,
1977-9006-BRA,1977,9006,,Natural,Climatological,Drought,Drought,,,Brazil,BRA,South America,Americas,North East,,,,,,,,,Km2,,,,,1977,,,1977,,,,,,,,,,,,,,22.36719878,,,,
1977-9294-CAN,1977,9294,,Natural,Climatological,Drought,Drought,,,Canada,CAN,Northern America,Americas,Prairie provinces,,,,,No,No,,,Km2,,,,,1977,1,,1980,,,,,,,,,,,,3000000,13412498,22.36719878,,,,
1977-9195-HKG,1977,9195,,Natural,Climatological,Drought,Drought,,,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1977,1,,1977,5,,,,,,,,,,,,,22.36719878,,,,
1978-0053-BEN,1978,53,,Natural,Climatological,Wildfire,Forest fire,,,Benin,BEN,Western Africa,Africa,Aguegues (Portonovo),,,,Yes,,,,,Km2,,,,,1978,4,10,1978,4,10,2,200,4000,3000,7200,,,,,,,24.07403455,,,,
1903-9001-NER,1903,9001,,Natural,Climatological,Drought,Drought,,,Niger (the),NER,Western Africa,Africa,Tahoua area,,,,,,,,,Km2,,,,,1903,,,1903,,,,,,,,,,,,,,3.323258181,,,,
1906-9025-NER,1906,9025,,Natural,Climatological,Drought,Drought,,,Niger (the),NER,Western Africa,Africa,"Birni N'konni, Madoua, Tahoua",,,,,,,,,Km2,,,,,1906,,,1907,,,,,,,,,,,,,,3.323258181,,,,
1910-9006-MLI,1910,9006,,Natural,Climatological,Drought,Drought,,,Mali,MLI,Western Africa,Africa,,,,,,,,,,Km2,,,,,1910,,,1914,,,,,,,,,,,,,,3.446341818,,,,
1910-9006-MRT,1910,9006,,Natural,Climatological,Drought,Drought,,,Mauritania,MRT,Western Africa,Africa,,,,,,,,,,Km2,,,,,1910,,,1914,,,,,,,,,,,,,,3.446341818,,,,
1910-9006-NER,1910,9006,,Natural,Climatological,Drought,Drought,,,Niger (the),NER,Western Africa,Africa,Zinder department,,,,,No,No,,,Km2,,,,,1910,,,1914,,,85000,,32000,,32000,,,,,,,3.446341818,,,,
1910-9006-SEN,1910,9006,,Natural,Climatological,Drought,Drought,,,Senegal,SEN,Western Africa,Africa,,,,,,,,,,Km2,,,,,1910,,,1914,,,,,,,,,,,,,,3.446341818,,,,
1910-9006-TCD,1910,9006,,Natural,Climatological,Drought,Drought,,,Chad,TCD,Middle Africa,Africa,,,,,,,,,,Km2,,,,,1910,,,1914,,,,,,,,,,,,,,3.446341818,,,,
1918-0007-USA,1918,7,,Natural,Climatological,Wildfire,Forest fire,,,United States of America (the),USA,Northern America,Americas,Minnesota Wisconsin,,,,,,,,,Km2,,,,,1918,10,15,1918,10,15,1000,,,,,,,,,100000,1797468,5.563380363,,,,
1921-9001-SUN,1921,9001,,Natural,Climatological,Drought,Drought,,,Soviet Union,SUN,Russian Federation,Europe,"South Ukraine, Volga, Ural (Kazakhstan,Russian Federation, Ukraine)",,Crop failure,Famine,,,,,,Km2,,,,,1921,,,1921,,,1200000,,5000000,,5000000,,,,,,,6.597282908,,,,
1929-0001-MEX,1929,1,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Mexico,MEX,Central America,Americas,Xochilapa,,,,,,,,,Km2,,,,,1929,5,10,1929,5,10,60,,,,,,,,,,,6.351115635,,,,
1940-9002-MLI,1940,9002,,Natural,Climatological,Drought,Drought,,,Mali,MLI,Western Africa,Africa,,,,,,,,,,Km2,,,,,1940,,,1944,,,,,,,,,,,,,,5.18182109,,,,
1940-9002-MRT,1940,9002,,Natural,Climatological,Drought,Drought,,,Mauritania,MRT,Western Africa,Africa,,,,,,,,,,Km2,,,,,1940,,,1944,,,,,,,,,,,,,,5.18182109,,,,
1940-9002-NER,1940,9002,,Natural,Climatological,Drought,Drought,,,Niger (the),NER,Western Africa,Africa,,,,,,,,,,Km2,,,,,1940,,,1944,,,,,,,,,,,,,,5.18182109,,,,
1940-9002-SEN,1940,9002,,Natural,Climatological,Drought,Drought,,,Senegal,SEN,Western Africa,Africa,,,,,,,,,,Km2,,,,,1940,,,1944,,,,,,,,,,,,,,5.18182109,,,,
1940-9002-TCD,1940,9002,,Natural,Climatological,Drought,Drought,,,Chad,TCD,Middle Africa,Africa,,,,,,,,,,Km2,,,,,1940,,,1944,,,,,,,,,,,,,,5.18182109,,,,
1942-9003-IND,1942,9003,,Natural,Climatological,Drought,Drought,,,India,IND,Southern Asia,Asia,"Calcutta, Bengal region",,Famine,,,No,No,,,Km2,,,,,1942,,,1942,,,1500000,,,,,,,,,,,6.043406544,,,,
